fixture_id,gender,disc_id,match_no,match_day,match_date,match_time,end_time,round_name,group_id,team1_dist_id,team2_dist_id,venue,result
311,2,6,Court-1,Day-1,NULL,NULL,NULL,NULL,1,4,30,NULL,NULL
312,1,6,Court-1,Day-1,NULL,NULL,NULL,NULL,2,17,19,NULL,NULL
313,2,6,Court-1,Day-1,NULL,NULL,NULL,NULL,2,26,33,NULL,NULL
314,1,15,M-1,DAY-3,NULL,7:00,NULL,NULL,1,10,16,NULL,NULL
315,1,15,M-2,DAY-3,NULL,8:30,NULL,NULL,2,4,32,NULL,NULL
316,1,15,M-3,DAY-3,NULL,10:00,NULL,NULL,1,26,23,NULL,NULL
317,1,15,M-4,DAY-3,NULL,11:30,NULL,NULL,2,20,14,NULL,NULL
318,1,6,Court-1,Day-1,NULL,NULL,NULL,NULL,3,26,22,NULL,NULL
319,2,6,Court-1,Day-1,NULL,NULL,NULL,NULL,3,23,29,NULL,NULL
320,1,15,M-5,DAY-3,NULL,13:00,NULL,NULL,1,16,1,NULL,NULL
321,1,15,M-6,DAY-3,NULL,14:30,NULL,NULL,2,4,11,NULL,NULL
322,1,6,Court-1,Day-1,NULL,NULL,NULL,NULL,4,13,33,NULL,NULL
323,1,15,M-7,DAY-3,NULL,16:00,NULL,NULL,1,10,23,NULL,NULL
324,2,6,Court-1,Day-1,NULL,NULL,NULL,NULL,4,13,6,NULL,NULL
325,1,6,Court-1,Day-1,NULL,NULL,NULL,NULL,5,24,21,NULL,NULL
326,2,6,Court-1,Day-1,NULL,NULL,NULL,NULL,5,32,27,NULL,NULL
327,1,6,Court-1,Day-1,NULL,NULL,NULL,NULL,6,20,2,NULL,NULL
328,2,6,Court-1,Day-1,NULL,NULL,NULL,NULL,6,14,9,NULL,NULL
329,1,6,Court-1,Day-1,NULL,NULL,NULL,NULL,7,32,10,NULL,NULL
330,2,6,Court-1,Day-1,NULL,NULL,NULL,NULL,7,17,24,NULL,NULL
331,1,6,Court-1,Day-1,NULL,NULL,NULL,NULL,8,3,6,NULL,NULL
332,2,6,Court-1,Day-1,NULL,NULL,NULL,NULL,8,11,10,NULL,NULL
333,1,6,Court-1,Day-1,NULL,NULL,NULL,NULL,1,4,8,NULL,NULL
334,2,15,M-1,DAY-1,NULL,7:00,NULL,NULL,2,16,20,NULL,NULL
335,1,6,Court-1,Day-1,NULL,NULL,NULL,NULL,1,18,9,NULL,NULL
336,2,6,Court-1,Day-1,NULL,NULL,NULL,NULL,1,20,19,NULL,NULL
337,2,15,M-2,DAY-1,NULL,8:00,NULL,NULL,1,10,26,NULL,NULL
338,2,6,Court-1,Day-1,NULL,NULL,NULL,NULL,1,4,31,NULL,NULL
339,2,15,M-3,DAY-1,NULL,9:00,NULL,NULL,2,32,14,NULL,NULL
340,2,15,M-4,DAY-1,NULL,10:00,NULL,NULL,1,23,1,NULL,NULL
341,2,15,M-5,DAY-1,NULL,11:00,NULL,NULL,2,4,20,NULL,NULL
342,1,6,Court-2,Day-1,NULL,NULL,NULL,NULL,2,5,29,NULL,NULL
343,2,15,M-6,DAY-1,NULL,12:00,NULL,NULL,1,11,26,NULL,NULL
344,2,6,Court-2,Day-1,NULL,NULL,NULL,NULL,2,2,22,NULL,NULL
345,1,6,Court-2,Day-1,NULL,NULL,NULL,NULL,3,27,30,NULL,NULL
346,2,15,M-7,DAY-1,NULL,1:00,NULL,NULL,2,16,32,NULL,NULL
